person,race,gender
Michelle Yeoh,Asian,Female
Mickey Rourke,White,Male
Mike Leigh,White,Male
Mo'Nique,Black,Female
Morgan Freeman,Black,Male
Morten Tyldum,White,Male
Naomi Watts,White,Female
Naomie Harris,Black,Female
Natalie Portman,White,Female
Nick Nolte,White,Male
Nicolas Cage,White,Male
Nicole Kidman,White,Female
Octavia Spencer,Black,Female
Olivia Colman,White,Female
Patricia Arquette,White,Female
Patricia Clarkson,White,Female
Paul Giamatti,White,Male
Paul Greengrass,White,Male
Paul Haggis,White,Male
Paul Mescal,White,Male
Paul Newman,White,Male
Paul Raci,White,Male
Paul Thomas Anderson,White,Male
Pawel Pawlikowski,White,Male
Pedro Almodóvar,White,Male
Penélope Cruz,White,Female
Peter Jackson,White,Male
Peter O'Toole,White,Male
Peter Weir,White,Male
Philip Seymour Hoffman,White,Male
Queen Latifah,Black,Female
Quentin Tarantino,White,Male
Quvenzhané Wallis,Black,Female
Rachel McAdams,White,Female
Rachel Weisz,White,Female
Rami Malek,Middle Eastern,Male
Reese Witherspoon,White,Female
Regina King,Black,Female
Renée Zellweger,White,Female
Richard E. Grant,White,Male
Richard Jenkins,White,Male
Richard Linklater,White,Male
Ridley Scott,White,Male
Rinko Kikuchi,Asian,Female
Riz Ahmed,Middle Eastern,Male
Rob Marshall,White,Male
Robert Altman,White,Male
Robert De Niro,White,Male
Robert Downey Jr.,White,Male
Robert Duvall,White,Male
Roman Polanski,White,Male
Ron Howard,White,Male
Rooney Mara,White,Female
Rosamund Pike,White,Female
Ruben Östlund,White,Male
Ruby Dee,Black,Female
Russell Crowe,White,Male
Ryan Gosling,White,Male
Ryusuke Hamaguchi,Asian,Male
Sacha Baron Cohen,Middle Eastern,Male
Sally Field,White,Female
Sally Hawkins,White,Female
Salma Hayek,Hispanic,Female
Sam Elliott,White,Male
Sam Mendes,White,Male
Sam Rockwell,White,Male
Samantha Morton,White,Female
Sandra Bullock,White,Female
Saoirse Ronan,White,Female
Scarlett Johansson,White,Female
Sean Penn,White,Male
Shohreh Aghdashloo,Middle Eastern,Female
Sissy Spacek,White,Female
Sofia Coppola,White,Female
Spike Lee,Black,Male
Stanley Tucci,White,Male
Stephanie Hsu,Asian,Female
Stephen Daldry,White,Male
Stephen Frears,White,Male
Steve Carell,White,Male
Steve McQueen,White,Male
Steven Spielberg,White,Male
Steven Yeun,Asian,Male
Sylvester Stallone,White,Male
Taraji P. Henson,Black,Female
Taylor Hackford,White,Male
Terrence Howard,Black,Male
Terrence Malick,White,Male
Thomas Haden Church,White,Male
Thomas Vinterberg,White,Male
Tilda Swinton,White,Female
Tim Robbins,White,Male
Timothée Chalamet,White,Male
Todd Field,White,Male
Todd Phillips,White,Male
Tom Hanks,White,Male
Tom Hardy,White,Male
Tom Hooper,White,Male
Tom McCarthy,White,Male
Tom Wilkinson,White,Male
Tommy Lee Jones,White,Male
Tony Gilroy,White,Male
Troy Kotsur,White,Male
Vanessa Kirby,White,Female
Vera Farmiga,White,Female
Viggo Mortensen,White,Male
Viola Davis,Black,Female
Virginia Madsen,White,Female
Will Smith,Black,Male
Willem Dafoe,White,Male
William Hurt,White,Male
Woody Allen,White,Male
Woody Harrelson,White,Male
Yalitza Aparicio,Hispanic,Female
Yorgos Lanthimos,White,Male
Yuh-Jung Youn,Asian,Female
Aron Warner,White,Male
Chris Wedge,White,Male
Chris Sanders,White,Male
Jeffrey Katzenberg,White,Male
Hayao Miyazaki,Asian,Male
Ron Clements,White,Male
Andrew Stanton,White,Male
Sylvain Chomet,White,Male
Brad Bird,White,Male
Bill Damaschke,White,Male
Andrew Adamson,White,Male
John Lasseter,White,Male
Gil Kenan,White,Male
Henry Selick,White,Male
Tomm Moore,White,Male
Pete Docter,White,Male
Lee Unkrich,White,Male
Jennifer Yuh Nelson,Asian,Female
Chris Miller,White,Male
Gore Verbinski,White,Male
Tim Burton,White,Male
Peter Lord,White,Male
Rich Moore,White,Male
Alê Abreu,Hispanic,Male
"Aaron Blaise, Robert Walker",White,Male
"Alain Gagnol, Jean-Loup Felicioli",White,Male
"Ash Brannon, Chris Buck",White,Male
"Benjamin Renner, Didier Brunner",White,Male
"Chris Sanders, Dean DeBlois",White,Male
"Byron Howard, Chris Williams",White,Male
"Chris Williams, Jed Schlanger",White,Male
"Claude Barras, Max Karli",White,Male
"Dan Scanlon, Kori Rae",White,F - M
"Bonnie Arnold, Dean DeBlois",White,F - M
"Domee Shi, Lindsey Collins",A - W,Female
"Andrea Warren, Enrico Casarosa",White,F - M
"Fernando Trueba, Javier Mariscal",White,Male
"Hayao Miyazaki, Toshio Suzuki",Asian,Male
"Hiromasa Yonebayashi, Yoshiaki Nishimura",Asian,Male
"Isao Takahata, Yoshiaki Nishimura",Asian,Male
"Joel Crawford, Mark Swift",White,Male
"John Musker, Ron Clements",White,Male
"John Stevenson, Mark Osborne",White,Male
"Jérémy Clapin, Marc du Pontavice",White,Male
"Darla K. Anderson, Lee Unkrich",White,F - M
"Mamoru Hosoda, Yuichiro Saito",Asian,Male
"Marjane Satrapi, Vincent Paronnaud",White,F - M
"Brenda Chapman, Mark Andrews",White,F - M
"Mark Burton, Richard Starzak",White,Male
"Michael Dudok de Wit, Toshio Suzuki",A - W,Male
"Mike Johnson, Tim Burton",White,Male
"Nick Park, Steve Box",White,Male
"Anthony Leo, Nora Twomey",White,F - M
"Dana Murray, Pete Docter",White,F - M
"Jonas Rivera, Pete Docter",H - W,Male
George Miller,White,Male
"Ramsey Naito, Tom McGrath",A - W,F - M
"Paul Young, Tomm Moore",White,Male
"Arianne Sutner, Travis Knight",White,F - M
Wes Anderson,White,Male
Adrien Morot,White,Male
"Adrien Morot, Annemarie Bradley, Judy Chin",A - W,F - M
"Adruitha Lee, Robin Mathews",White,Female
"Aldo Signoretti, Vittorio Sodano",White,Male
"Alessandro Bertolazzi, Christopher Nelson, Giorgio Gregorini",White,Male
Arjen Tuiten,White,Male
"Barney Burman, Joel Harlow, Mindy Hall",White,F - M
"Bill Corso, Dennis Liddiard",White,Male
"Camille Friend, Joel Harlow",B - W,F - M
"Daniel Phillips, Lou Sheppard",White,F - M
"Dave Elsey, Nikki Gooley",White,F - M
"David Leroy Anderson, Lance Anderson",White,Male
"David Martí, Montse Ribé",White,F - M
"Didier Lavergne, Jan Archibald",White,F - M
"Donald Mowat, Eva von Bahr, Love Larson",White,F - M
"Edouard F. Henriques, Gregory Funk, Yolanda Toussieng",White,F - M
"Edouard Henriques III, Yolanda Toussieng",White,F - M
"David White, Elizabeth Yianni-Georgiou",White,F - M
"Eryn Krueger Mekash, Matthew Mungle, Patricia Dehaney",White,F - M
"Eva von Bahr, Love Larson",White,F - M
"Frances Hannon, Mark Coulier",White,F - M
"Colleen LaBaff, Gigi Williams, Kimberley Spiteri",White,Female
Greg Cannom,White,Male
"Colleen Callaghan, Greg Cannom",White,F - M
"Greg Cannom, Kate Biscoe, Patricia Dehaney",White,F - M
"Göran Lundström, Pamela Goldammer",White,F - M
"Anna Carin Lock, Frederic Aspiras, Göran Lundström",A - W,F - M
"Heike Merker, Linda Eisenhamerová",White,Female
"Howard Berger, Tami Lane",White,F - M
"Howard Berger, Martin Samuel, Peter Montagna",White,Male
"Jenny Shircore, Jessica Brooks, Marc Pilcher",White,F - M
Jeremy Woodhead,White,Male
"Jo Allen, Manuel García",White,F - M
"Gloria Pasqua-Casny, Joel Harlow",White,F - M
"Joel Harlow, Richard Alonzo",H - W,Male
"Conor O'Sullivan, John Caglione, Jr.",White,Male
"Beatrice De Alba, John Jackson",White,F - M
"Barbara Lorenz, John M. Elliott, Jr.",White,F - M
"Jenny Shircore, Jon Henry Gordon",White,F - M
