person,race,gender
"Andrew Stanton, John Lasseter, Lee Unkrich, Michael Arndt",White,Male
"Anne Rosellini, Debra Granik",White,Female
"Anthony Hines, Dan Mazer, Dan Swimer, Erica Rivinoja, Jena Friedman, Lee Kern, Nina Pedrad, Peter Baynham, Sacha Baron Cohen",ME - W,F - M
"Anthony Hines, Dan Mazer, Peter Baynham, Sacha Baron Cohen, Todd Phillips",ME - W,Male
Anthony McCarten,White,Male
"Armando Iannucci, Jesse Armstrong, Simon Blackwell, Tony Roche",White,Male
August Wilson,Black,Male
"Barry Jenkins, Tarell Alvin McCraney",Black,Male
"Beau Willimon, George Clooney, Grant Heslov",ME - W,Male
"Benh Zeitlin, Lucy Alibar",White,F - M
Bill Condon,White,Male
Billy Ray,White,Male
"Bradley Cooper, Eric Roth, Will Fetters",White,Male
Braulio Mantovani,Hispanic,Male
Brian Helgeland,White,Male
"Bridget O'Connor, Peter Straughan",White,F - M
"Charlie Kaufman, Donald Kaufman",White,Male
"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee",B - W,Male
Chris Terrio,White,Male
"Chris Weitz, Paul Weitz, Peter Hedges",White,Male
Christopher Hampton,White,Male
"Christopher Hampton, Florian Zeller",White,Male
"Christopher McQuarrie, Ehren Kruger, Eric Warren Singer, Justin Marks, Peter Craig",White,Male
Dan Futterman,White,Male
"Daniel Clowes, Terry Zwigoff",White,Male
"Danny Boyle, Simon Beaufoy",White,Male
David Hare,White,Male
David Magee,White,Male
"Dee Rees, Virgil Williams",Black,F - M
"Denis Villeneuve, Eric Roth, Jon Spaihts",White,Male
"Diana Ossana, Larry McMurtry",White,F - M
Drew Goddard,White,Male
"Edward Berger, Ian Stokell, Lesley Paterson",White,F - M
Emma Donoghue,White,Female
Eric Heisserer,White,Male
"Eric Roth, Robin Swicord",White,F - M
"Eric Roth, Tony Kushner",White,Male
"Ethan Hawke, Julie Delpy, Kim Krizan, Richard Linklater",White,F - M
"Ethan Hawke, Julie Delpy, Richard Linklater",White,F - M
"Fran Walsh, Peter Jackson, Philippa Boyens",White,F - M
Gary Ross,White,Male
Geoffrey Fletcher,Black,Male
Graham Moore,White,Male
James Ivory,White,Male
"James Mangold, Michael Green, Scott Frank",White,Male
Jason Hall,White,Male
"Jason Reitman, Sheldon Turner",White,Male
"Jeff Pope, Steve Coogan",White,Male
"Jeff Whitty, Nicole Holofcener",White,F - M
Jeffrey Caine,White,Male
"Joe Stillman, Roger S.H. Schulman, Ted Elliott, Terry Rossio",White,Male
John Patrick Shanley,White,Male
John Ridley,Black,Male
Josh Olson,White,Male
José Rivera,Hispanic,Male
Kazuo Ishiguro,Asian,Male
Kemp Powers,Black,Male
Luke Davies,White,Male
"Michael H. Weber, Scott Neustadter",White,Male
"Neill Blomkamp, Terri Tatchell",White,F - M
Nick Hornby,White,Male
Patrick Marber,White,Male
Phyllis Nagy,White,Female
Ramin Bahrani,Middle Eastern,Male
"Rob Festinger, Todd Field",White,Male
"Robert Pulcini, Shari Springer Berman",ME - W,F - M
Ronald Harwood,White,Male
"Ryusuke Hamaguchi, Takamasa Oe",Asian,Male
Sarah Polley,White,Female
"Scott Silver, Todd Phillips",White,Male
Simon Beaufoy,White,Male
Siân Heder,White,Female
Steven Zaillian,White,Male
Taika Waititi,White,Male
Terence Winter,White,Male
"Todd Field, Tom Perrotta",White,Male
Tony Kushner,White,Male
William Monahan,White,Male
Randy Newman,White,Male
"Enya, Nicky Ryan, Roma Ryan",White,F - M
Diane Warren,White,Female
Sting,White,Male
Paul McCartney,White,Male
"Elliot Goldenthal, Julie Taymor",White,F - M
Paul Simon,White,Male
"Adam Clayton, Bono, Larry Mullen, The Edge",White,Male
"Fred Ebb, John Kander",White,Male
"Eminem, Jeff Bass, Luis Resto",H - W,Male
"Benoît Charest, Sylvain Chomet",White,Male
"Annie Lennox, Fran Walsh, Howard Shore",White,F - M
"Annette O'Toole, Michael McKean",White,F - M
"Elvis Costello, T Bone Burnett",White,Male
"Adam Duritz, Charles Gillingham, Daniel Vickrey, David Bryson, David Immergluck, Jim Bogios, Matthew Malley",White,Male
Jorge Drexler,White,Male
"Alan Silvestri, Glen Ballard",White,Male
"Andrew Lloyd Webber, Charles Hart",White,Male
"Bruno Coulais, Christophe Barratier",White,Male
"Kathleen ""Bird"" York, Michael Becker",White,F - M
"Cedric Coleman, Jordan Houston, Paul Beauregard",Black,Male
Dolly Parton,White,Female
Melissa Etheridge,White,Female
"Anne Preven, Henry Krieger, Scott Cutler",White,F - M
"Henry Krieger, Siedah Garrett",B - W,F - M
"Henry Krieger, Willie Reale",White,Male
"Glen Hansard, Marketa Irglova",White,F - M
"Alan Menken, Stephen Schwartz",White,Male
"Charles Mack, Jamal Joseph, Tevin Thomas",White,Male
"Peter Gabriel, Thomas Newman",White,Male
"A.R. Rahman, Gulzar",Indian,Male
"A.R. Rahman, Maya Arulpragasam",Indian,F - M
"Frank Thomas, Reinhardt Wagner",White,Male
Maury Yeston,White,Male
"Ryan Bingham, T Bone Burnett",White,Male
"Hillary Lindsey, Tom Douglas, Troy Verges",White,F - M
"Alan Menken, Glenn Slater",White,Male
"A.R. Rahman, Dido, Rollo Armstrong",I - W,F - M
Bret McKenzie,White,Male
"Carlinhos Brown, Sergio Mendes, Siedah Garrett",Hispanic,Male
J. Ralph,White,Male
"Seth MacFarlane, Walter Murphy",White,Male
"Bombay Jayashri, Mychael Danna",I - W,F - M
"Adele Adkins, Paul Epworth",White,F - M
"Alain Boublil, Claude-Michel Schönberg, Herbert Kretzmer",White,Male
"Bruce Broughton, Dennis Spiegel",White,Male
Pharrell Williams,Black,Male
"Kristen Anderson-Lopez, Robert Lopez",White,F - M
"Karen O, Spike Jonze",A - W,F - M
"Adam Clayton, Dave Evans, Larry Mullen, Paul Hewson",White,Male
Shawn Patterson,White,Male
"John Stephens, Lonnie Lynn",Black,Male
"Glen Campbell, Julian Raymond",White,Male
"Danielle Brisebois, Gregg Alexander",White,F - M
"Ahmad Balshe, Jason Quenneville, Stephan Moccio, The Weeknd",ME - B,Male
"Anohni, J. Ralph",White,F - M
David Lang,White,Male
"Diane Warren, Lady Gaga",White,Female
"Jimmy Napes, Sam Smith",White,Male
"Benj Pasek, Justin Hurwitz, Justin Paul",White,Male
"Justin Timberlake, Karl Johan Schuster, Max Martin",White,Male
"J. Ralph, Sting",White,Male
Lin-Manuel Miranda,Hispanic,Male
"Mary J. Blige, Raphael Saadiq, Taura Stinson",Black,F - M
Sufjan Stevens,White,Male
"Diane Warren, Lonnie R. Lynn",B - W,F - M
"Benj Pasek, Justin Paul",White,Male
"Anthony ""Top Dawg"" Tiffith, Kendrick Lamar, Mark ""Sounwave"" Spears, SZA",Black,F - M
"Marc Shaiman, Scott Wittman",White,Male
"Andrew Wyatt, Anthony Rossomando, Lady Gaga, Mark Ronson",White,F - M
"David Rawlings, Gillian Welch",White,F - M
"Bernie Taupin, Elton John",White,Male
"Cynthia Erivo, Joshuah Brian Campbell",Black,F - M
"Dernst Emile II, H.E.R., Tiara Thomas",Black,F - M
"Celeste Waite, Daniel Pemberton",B - W,F - M
"Fat Max Gsus, Rickard Göransson, Savan Kotecha",White,Male
"Diane Warren, Laura Pausini",White,Female
"Jr., Leslie Odom, Sam Ashworth",B - W,Male
"Beyoncé Knowles-Carter, DIXSON",Black,F - M
Van Morrison,White,Male
"Billie Eilish, Finneas O'Connell",White,F - M
"BloodPop, Lady Gaga",White,F - M
"Ludwig Goransson, Rihanna, Ryan Coogler, Tems",B - W,F - M
"Chandrabose, M.M. Keeravaani",Indian,Male
"David Byrne, Mitski, Ryan Lott",A - W,F - M
