category,ceremony,film,film_awards.nomsBaftas,film_awards.nomsGoldenGlobes,film_awards.nomsOscars,film_awards.winsBaftas,film_awards.winsGoldenGlobes,film_awards.winsOscars,name,winner,year_ceremony,year_film
International Feature Film,74,"No Man's Land",0,0,0,0,1,1,Bosnia & Herzegovina,true,2002,2001
International Feature Film,74,Son of the Bride,0,0,1,0,0,0,Argentina,false,2002,2001
Makeup and Hairstyling,74,A Beautiful Mind,2,2,4,2,4,4,"Greg Cannom, Colleen Callaghan",false,2002,2001
Makeup and Hairstyling,74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,"Peter Owen, Richard Taylor",true,2002,2001
Makeup and Hairstyling,74,Moulin Rouge,8,3,6,2,3,2,"Maurizio Silvi, Aldo Signoretti",false,2002,2001
Music (Original Score),74,A.I. Artificial Intelligence,1,3,2,0,0,0,John Williams,false,2002,2001
Music (Original Score),74,A Beautiful Mind,2,2,4,2,4,4,James Horner,false,2002,2001
Music (Original Score),74,"Harry Potter and the Sorcerer's Stone",6,0,3,0,0,0,John Williams,false,2002,2001
Music (Original Score),74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,Howard Shore,true,2002,2001
Music (Original Score),74,"Monsters, Inc.",0,0,3,0,0,1,Randy Newman,false,2002,2001
Music (Original Song),74,"Monsters, Inc.",0,0,3,0,0,1,Music and Lyric by Randy Newman,true,2002,2001
Music (Original Song),74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,"Music and Lyric by Enya, Nicky Ryan and Roma Ryan",false,2002,2001
Music (Original Song),74,Pearl Harbor,0,2,3,0,0,1,Music and Lyric by Diane Warren,false,2002,2001
Music (Original Song),74,Kate & Leopold,0,1,1,0,1,0,Music and Lyric by Sting,false,2002,2001
Music (Original Song),74,Vanilla Sky,0,2,1,0,0,0,Music and Lyric by Paul McCartney,false,2002,2001
Best Picture,74,A Beautiful Mind,2,2,4,2,4,4,"Brian Grazer and Ron Howard, Producers",true,2002,2001
Best Picture,74,Gosford Park,5,4,6,1,1,1,"Robert Altman, Bob Balaban and David Levy, Producers",false,2002,2001
Best Picture,74,In the Bedroom,2,2,5,0,1,0,"Graham Leader, Ross Katz and Todd Field, Producers",false,2002,2001
Best Picture,74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",false,2002,2001
Best Picture,74,Moulin Rouge,8,3,6,2,3,2,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",false,2002,2001
Short Film (Animated),74,Fifty Percent Grey,0,0,1,0,0,0,"Ruairi Robinson, Seamus Byrne",false,2002,2001
Short Film (Animated),74,For the Birds,0,0,0,0,0,1,Ralph Eggleston,true,2002,2001
Short Film (Animated),74,Give Up Yer Aul Sins,0,0,1,0,0,0,"Cathal Gaffney, Darragh O'Connell",false,2002,2001
Short Film (Animated),74,Strange Invaders,0,0,1,0,0,0,Cordell Barker,false,2002,2001
Short Film (Animated),74,Stubble Trouble,0,0,1,0,0,0,Joseph E. Merideth,false,2002,2001
Short Film (Live Action),74,the accountant,0,0,0,0,0,1,"Ray McKinnon, Lisa Blount",true,2002,2001
Short Film (Live Action),74,Copy Shop,0,0,1,0,0,0,Virgil Widrich,false,2002,2001
Short Film (Live Action),74,"Gregor's Greatest Invention",0,0,1,0,0,0,Johannes Kiefer,false,2002,2001
Short Film (Live Action),74,A Man Thing (Meska Sprawa),0,0,1,0,0,0,"Slawomir Fabicki, Bogumil Godfrejow",false,2002,2001
Short Film (Live Action),74,Speed for Thespians,0,0,1,0,0,0,"Kalman Apple, Shameela Bakhsh",false,2002,2001
Sound,74,Amélie,5,1,5,2,0,0,"Vincent Arnardi, Guillaume Leriche, Jean Umansky",false,2002,2001
Sound,74,Black Hawk Down,3,0,2,0,0,2,"Michael Minkler, Myron Nettinga, Chris Munro",true,2002,2001
Sound,74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,"Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",false,2002,2001
Sound,74,Moulin Rouge,8,3,6,2,3,2,"Andy Nelson, Anna Behlmer, Roger Savage, Guntis Sics",false,2002,2001
Sound,74,Pearl Harbor,0,2,3,0,0,1,"Kevin O'Connell, Greg P. Russell, Peter J. Devlin",false,2002,2001
Visual Effects,74,A.I. Artificial Intelligence,1,3,2,0,0,0,"Dennis Muren, Scott Farrar, Stan Winston, Michael Lantieri",false,2002,2001
Visual Effects,74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",true,2002,2001
Visual Effects,74,Pearl Harbor,0,2,3,0,0,1,"Eric Brevig, John Frazier, Ed Hirsh, Ben Snow",false,2002,2001
Writing (Adapted Screenplay),74,A Beautiful Mind,2,2,4,2,4,4,Written by Akiva Goldsman,true,2002,2001
Writing (Adapted Screenplay),74,Ghost World,0,2,1,0,0,0,Written by Daniel Clowes & Terry Zwigoff,false,2002,2001
Writing (Adapted Screenplay),74,In the Bedroom,2,2,5,0,1,0,Screenplay by Rob Festinger and Todd Field,false,2002,2001
Writing (Adapted Screenplay),74,The Lord of the Rings: The Fellowship of the Ring,7,4,9,3,0,4,"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",false,2002,2001
Writing (Adapted Screenplay),74,Shrek,4,1,1,1,0,1,Written by Ted Elliott & Terry Rossio and Joe Stillman and Roger S.H. Schulman,false,2002,2001
Writing (Original Screenplay),74,Amélie,5,1,5,2,0,0,Screenplay by Guillaume Laurant and Jean-Pierre Jeunet; Dialogue by Guillaume Laurant,false,2002,2001
Writing (Original Screenplay),74,Gosford Park,5,4,6,1,1,1,Written by Julian Fellowes,true,2002,2001
Writing (Original Screenplay),74,Memento,0,1,2,0,0,0,Screenplay by Christopher Nolan; Story by Jonathan Nolan,false,2002,2001
Writing (Original Screenplay),74,"Monster's Ball",1,1,1,0,0,1,Written by Milo Addica & Will Rokos,false,2002,2001
Writing (Original Screenplay),74,The Royal Tenenbaums,1,0,1,0,1,0,Written by Wes Anderson & Owen Wilson,false,2002,2001
Actor in a Leading Role,75,The Pianist,4,2,4,1,1,3,Adrien Brody,true,2003,2002
Actor in a Leading Role,75,Adaptation,3,4,3,1,2,1,Nicolas Cage,false,2003,2002
Actor in a Leading Role,75,The Quiet American,1,1,1,0,0,0,Michael Caine,false,2003,2002
Actor in a Leading Role,75,Gangs of New York,9,3,10,1,2,0,Daniel Day-Lewis,false,2003,2002
Actor in a Leading Role,75,About Schmidt,1,3,2,0,2,0,Jack Nicholson,false,2003,2002
Actor in a Supporting Role,75,Adaptation,3,4,3,1,2,1,Chris Cooper,true,2003,2002
Actor in a Supporting Role,75,The Hours,7,5,8,1,2,1,Ed Harris,false,2003,2002
Actor in a Supporting Role,75,Road to Perdition,1,1,5,2,0,1,Paul Newman,false,2003,2002
Actor in a Supporting Role,75,Chicago,8,5,7,2,3,6,John C. Reilly,false,2003,2002
Actor in a Supporting Role,75,Catch Me If You Can,2,1,2,1,0,0,Christopher Walken,false,2003,2002
Actress in a Leading Role,75,Frida,3,1,4,1,1,2,Salma Hayek,false,2003,2002
Actress in a Leading Role,75,The Hours,7,5,8,1,2,1,Nicole Kidman,true,2003,2002
Actress in a Leading Role,75,Unfaithful,0,1,1,0,0,0,Diane Lane,false,2003,2002
Actress in a Leading Role,75,Far from Heaven,0,4,4,0,0,0,Julianne Moore,false,2003,2002
Actress in a Leading Role,75,Chicago,8,5,7,2,3,6,Renée Zellweger,false,2003,2002
Actress in a Supporting Role,75,About Schmidt,1,3,2,0,2,0,Kathy Bates,false,2003,2002
Actress in a Supporting Role,75,The Hours,7,5,8,1,2,1,Julianne Moore,false,2003,2002
Actress in a Supporting Role,75,Chicago,8,5,7,2,3,6,Queen Latifah,false,2003,2002
Actress in a Supporting Role,75,Adaptation,3,4,3,1,2,1,Meryl Streep,false,2003,2002
Actress in a Supporting Role,75,Chicago,8,5,7,2,3,6,Catherine Zeta-Jones,true,2003,2002
Animated Feature Film,75,Ice Age,0,0,1,0,0,0,Chris Wedge,false,2003,2002
Animated Feature Film,75,Lilo & Stitch,0,0,1,0,0,0,Chris Sanders,false,2003,2002
Animated Feature Film,75,Spirit: Stallion of the Cimarron,0,1,1,0,0,0,Jeffrey Katzenberg,false,2003,2002
Animated Feature Film,75,Spirited Away,1,0,0,0,0,1,Hayao Miyazaki,true,2003,2002
Animated Feature Film,75,Treasure Planet,0,0,1,0,0,0,Ron Clements,false,2003,2002
Production Design,75,Chicago,8,5,7,2,3,6,Art Direction:  John Myhre; Set Decoration:  Gordon Sim,true,2003,2002
