title,ID
Paradise Lost 3: Purgatory,2028530
The Wolf of Wall Street,0993846
Cold War,6543652
CaveDigger,2516860
Das Rad,0330801
The Sessions,1866249
The Quiet Girl,15109082
Murder on a Sunday Morning,0307197
After the Wedding,0457655
The Last Station,0824758
Yes-People,12706728
Tanghi Argentini,0812387
The Duchess,0864761
As It Is in Heaven,0382330
The Impossible,1649419
Robin Robin,11332850
Chernobyl Heart,0396959
O.J.: Made in America,5275892
The Dress,12299764
The Man Who Wasn't There,0243133
Winged Migration,0301727
Sicario,3397884
Don't Look Up,11286314
Life Overtakes Me,9204606
The Greatest Showman,1485796
Stranger at the Gate,20784118
A War,3748528
The Martha Mitchell Effect,16379454
Icarus,6333060
Letters from Iwo Jima,0498380
Happy-Go-Lucky,1045670
Street Fight,0457496
Memoirs of a Geisha,0397535
The Children of Leningradsky,0442947
Everything in This Country Must,0443499
Birdman or (The Unexpected Virtue of Ignorance),2562232
Jim: The James Foley Story,5278466
Cold Mountain,0159365
Freeheld,0914369
All the Beauty and the Bloodshed,21374850
Julie & Julia,1135503
Our Curse,3069992
Australia,0455824
The Last King of Scotland,0455590
The Mole Agent,11394298
Boogaloo and Graham,3612232
CODA,10366460
End Game,7879350
9,0411705
Sing!,0273822
God Is the Bigger Elvis,2210633
Virunga,3455224
Get Out,5052448
Please Hold,11383280
Recycled Life,0859631
Big Hero 6,2245084
Last Men in Aleppo,6333074
A Cat in Paris,1673702
The Mitchells vs. the Machines,7979580
The Lord of the Rings: The Two Towers,0167261
Road to Perdition,0257044
Midnight in Paris,1605783
Boxballet,14825972
Guardians of the Galaxy Vol. 2,3896198
The Lost Daughter,9100054
My Week with Marilyn,1655420
Hugo,0970179
The Flying Sailor,20240228
No End in Sight,0912593
Paradise Now,0445620
The Dam Keeper,3326262
The Descendants,1033575
Joe's Violin,5639178
Sherlock Holmes,0988045
Tim Burton's Corpse Bride,0121164
The Pirates! Band of Misfits,1430626
March of the Penguins,0428803
Lunana: A Yak in the Classroom,10189300
Monster,0340855
House of Flying Daggers,0385004
Of Fathers and Sons,7519174
Precious: Based on the Novel 'Push' by Sapphire,0929632
Ryan,0414469
The Worst Person in the World,10370710
"Two Days, One Night",2737050
A Very Long Engagement,0344510
The Diving Bell and the Butterfly,0401383
Curse of the Golden Flower,0473444
The Voorman Problem,1998355
Wallace & Gromit in The Curse of the Were-Rabbit,0312004
Lou,6267732
Parvaneh,3008010
Open Heart,2348322
A Single Life,3838700
Boy and the World,3183630
The Milk of Sorrow,1206488
Lifeboat,7446332
The Hand of God,12680684
Binta and the Great Idea (Binta Y La Gran Idea),0442001
Glass Onion: A Knives Out Mystery,11564570
