title,ID
The Last Campaign of Governor Booth Gardner,1534853
Taxi to the Dark Side,0854678
Moneyball,1210166
The Judge,1872194
7:35 in the Morning (7:35 de la Mañana),0406501
Still Alice,3316960
Timbuktu,3409392
The Insult,7048622
The Lord of the Rings: The Return of the King,0167260
The Last Samurai,0325710
Elizabeth: The Golden Age,0414055
Gasland,1558250
"Chau, beyond the Lines",4084844
Suicide Squad,1386697
Watu Wote/All of Us,6333422
Ida,2718492
Parasite,6751668
"Quo Vadis, Aida?",8633462
The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,1844056
The Look of Silence,3521134
The Passion of the Christ,0335345
The Fabelmans,14208870
Revanche,1173745
Enron: The Smartest Guys in the Room,1016268
No Time for Nuts,0902999
Close,9660502
Evil,0120804
Twin Sisters,0322674
The Confession,1687903
The Motorcycle Diaries,0318462
Jackass Presents: Bad Grandpa,3063516
Water,0240200
WALL-E,0910970
Opera,1879016
Y Tu Mamá También,0245574
An Education,1174732
Pieces of April,0311648
The Hunting Ground,4185572
The Warriors of Qiugang,1744887
Dallas Buyers Club,0790636
Asad,2136747
1917,8579674
August: Osage County,1322269
Presto,1245104
Inocente,2123210
The Last Truck: Closing of a GM Plant,1487120
The Martian,3659388
Toni Erdmann,4048272
Notes on a Scandal,0465551
Mt. Head,0351382
Hidden Figures,4846340
The Way Back,1023114
Balseros,0321376
Mirai,6900448
The Mysterious Geographic Explorations of Jasper Morello,0469146
Saving Mr. Banks,2140373
Something's Gotta Give,0337741
Selma,1020072
The Twilight Samurai,0351817
"Food, Inc.",1286537
White Eye,10538710
The Gruffalo,1461418
Ascension,14505430
The Savages,0775529
How to Train Your Dragon: The Hidden World,2386490
American Factory,9351980
The Mushroom Club,0762119
Master and Commander: The Far Side of the World,0311113
A Note of Triumph: The Golden Age of Norman Corwin,0491795
The Visitor,0857191
Harry Potter and the Prisoner of Azkaban,0304141
3:10 to Yuma,0381849
Inception,1375666
I Met the Walrus,1156511
Incident in New Baghdad,1746180
Gopher Broke,0438064
Creed,3076658
Inside Job,1645089
In Darkness,1417075
Brother Bear,0328880
War Witch,1820488
Up in the Air,1193138
Land of Mine,3841424
Restrepo,1559549
The Midnight Sky,10539608
Coco,2380307
The Secret in Their Eyes,1305806
Da 5 Bloods,9777644
Brokeback Mountain,0388795
Defiance,1034303
Dawn of the Planet of the Apes,2103281
Fantastic Mr. Fox,0432283
The Cove,1313104
Loving Vincent,3262342
The Door,1223934
The Tree of Life,0478304
Butter Lamp (La Lampe Au Beurre De Yak),2922078
The Long Goodbye,11924384
Tell It like a Woman,5850650
An Irish Goodbye,14625872
A Royal Affair,1276419
W.E.,1536048
Minari,10633456
The Village,0368447
Biutiful,1164999
Kings Point,2109153
Destino,0377770
The Story of the Weeping Camel,0373861
My Octopus Teacher,12888462
